"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://edicleanexteriorcleaning.co.uk/","text/html; charset=UTF-8","200","OK","Indexable","","EdiClean Exterior Cleaning - Professional Exterior Cleaning | Edinburgh, Midlothian, East Lothian and West Lothian","114","999","Expert roof cleaning, render softwashing, driveway, gutter, PVC and window cleaning across Edinburgh, Midlothian, East Lothian and West Lothian. Get a free quote for your property.","180","1119","","0","Exterior Cleaning Edinburgh","27","Why Choose EdiClean Exterior Cleaning?","38","Browse our services.","20","index, follow","","","https://edicleanexteriorcleaning.co.uk/","","","","","","126969","18172","18172","6.961","","967","235","4.115","65.391","Normal","5.318","0","0","","924","187","0","100.000","95","49","0","6","3","0","","","","","237448429e714de0dd615b2d33bfb37","0.164","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/","2026-05-12 13:16:19"
"https://edicleanexteriorcleaning.co.uk/window-cleaning","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","1","0","","4","2","0","1.070","0","0","0","0","0","0","","","","","","0.373","","https://edicleanexteriorcleaning.co.uk/window-cleaning/","HTTP Redirect","","","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/window-cleaning","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/render-softwashing","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","1","0","","4","2","0","1.070","0","0","0","0","0","0","","","","","","0.380","","https://edicleanexteriorcleaning.co.uk/render-softwashing/","HTTP Redirect","","","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/render-softwashing","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/penicuik/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Penicuik | Roof, Driveway & Gutter Cleaning | EdiClean Exterior Cleaning","90","783","Exterior cleaning in Penicuik, near Edinburgh: roof steam, render softwash, driveways, gutters, PVC and windows. Near Roslin & Loanhead. Free quote.","148","927","","0","Exterior Cleaning in Penicuik","29","Why Choose EdiClean Exterior Cleaning?","38","Our services in Penicuik","24","index, follow","","","https://edicleanexteriorcleaning.co.uk/penicuik/","","","","","","123700","19807","19807","7.588","","1294","272","4.757","64.907","Normal","7.194","1","1","","372","187","0","100.000","95","50","0","6","3","0","","","","","65811cb29a6cb58dd1843d40ffbceea1","0.259","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/penicuik/","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/portfolio/gal2.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","382191","382191","382191","146.410","","0","","","","","0.000","1","1","","26","26","0","13.900","0","0","0","0","0","0","","","","","","0.151","","","","","","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/portfolio/gal2.jpg","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/roof-steam-cleaning","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","1","0","","4","2","0","1.070","0","0","0","0","0","0","","","","","","0.329","","https://edicleanexteriorcleaning.co.uk/roof-steam-cleaning/","HTTP Redirect","","","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/roof-steam-cleaning","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/prestonpans/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Prestonpans | Roof, Driveway & Gutter Cleaning | EdiClean Exterior Cleaning","93","820","Exterior cleaning in Prestonpans, near Edinburgh: roof steam, render softwash, driveways, gutters, PVC and windows. Near Musselburgh & Tranent. Free quote.","155","984","","0","Exterior Cleaning in Prestonpans","32","Why Choose EdiClean Exterior Cleaning?","38","Our services in Prestonpans","27","index, follow","","","https://edicleanexteriorcleaning.co.uk/prestonpans/","","","","","","124027","19812","19812","7.590","","1303","273","4.773","66.423","Normal","7.271","1","1","","372","187","0","100.000","95","50","0","6","3","0","","","","","375a2680dd94576c83629f2aa74f6606","0.403","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/prestonpans/","2026-05-12 13:16:21"
"https://edicleanexteriorcleaning.co.uk/bonnyrigg/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Bonnyrigg | Roof, Driveway & Gutter Cleaning | EdiClean Exterior Cleaning","91","797","Exterior cleaning in Bonnyrigg, near Edinburgh: roof steam, render softwash, driveways, gutters, PVC and windows. Near Dalkeith & Loanhead. Free quote.","151","949","","0","Exterior Cleaning in Bonnyrigg","30","Why Choose EdiClean Exterior Cleaning?","38","Our services in Bonnyrigg","25","index, follow","","","https://edicleanexteriorcleaning.co.uk/bonnyrigg/","","","","","","123745","19832","19832","7.597","","1291","270","4.781","65.416","Normal","7.194","1","1","","372","187","0","100.000","95","50","0","6","3","0","","","","","aa5914635ad303c567a03493bf27084b","0.332","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/bonnyrigg/","2026-05-12 13:16:21"
"https://edicleanexteriorcleaning.co.uk/loanhead/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Loanhead | Roof, Driveway & Gutter Cleaning | EdiClean Exterior Cleaning","90","795","Exterior cleaning in Loanhead, near Edinburgh: roof steam, render softwash, driveways, gutters, PVC and windows. Near Bonnyrigg & Roslin. Free quote.","149","937","","0","Exterior Cleaning in Loanhead","29","Why Choose EdiClean Exterior Cleaning?","38","Our services in Loanhead","24","index, follow","","","https://edicleanexteriorcleaning.co.uk/loanhead/","","","","","","123664","19833","19833","7.598","","1295","270","4.796","67.260","Normal","7.164","1","1","","372","187","0","100.000","95","50","0","6","3","0","","","","","98d23772540f715fff7557278ef1e622","0.386","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/loanhead/","2026-05-12 13:16:20"
"https://edicleanexteriorcleaning.co.uk/fairmilehead/","text/html; charset=UTF-8","200","OK","Indexable","","Exterior Cleaning Fairmilehead | Roof, Driveway & Gutter Cleaning | EdiClean Exterior Cleaning","94","822","Exterior cleaning in Fairmilehead, near Edinburgh: roof steam, render softwash, driveways, gutters, PVC and windows. Near Morningside & Buckstone. Free quote.","158","999","","0","Exterior Cleaning in Fairmilehead","33","Why Choose EdiClean Exterior Cleaning?","38","Our services in Fairmilehead","28","index, follow","","","https://edicleanexteriorcleaning.co.uk/fairmilehead/","","","","","","124114","19914","19914","7.629","","1305","273","4.780","63.835","Normal","7.310","1","1","","372","187","0","100.000","95","50","0","6","3","0","","","","","d47cfdaffdee644df022a928a6057981","0.402","","","","","en","1.1","","","","","","https://edicleanexteriorcleaning.co.uk/fairmilehead/","2026-05-12 13:16:20"
